,COV1_S25,COV2_S26,COV3_S27,COV4_S28,COV5_S29,COV6_S30,COV7_S31,Neg11_S3,Neg12_S3,Neg13_S3,Neg15_S3,Neg16_S4,Neg18_S4,Neg19_S4,Neg21_S4,Neg22_S4,Neg9_S33,Neg10_S3,Neg14_S3,Neg17_S4,Neg20_S4,Neg23_S4,Neg8_S32
ACADL,0.12,3.95,6.48,9.15,0.28,1.67,0.1,0.68,2.55,0.51,12.93,11.01,9.44,1.38,3.03,0.75,2.2,0.97,8.6,0.85,0.3,5.88,0.54
ACADM,48.83,21.45,32.73,37.62,18.97,21.04,40.78,27.92,25.75,14.83,29.43,28.56,25.14,25.45,21.8,49.74,13.19,49.2,42.97,12.72,10.95,26.03,17.31
ACADS,15.53,16.58,37.76,30.16,11.88,9.69,25.97,13.79,28.95,10.2,20.55,18.93,17.52,11.88,25.55,23.06,13.74,49.81,47.82,15.17,9.27,19.14,10.67
ACADSB,4.43,6.6,15.13,14.95,8.9,11.73,12.05,4.8,7.41,2.62,8.63,22.73,9.84,5.86,7.84,163.84,4.03,6.56,10.6,7.18,1.54,12.31,4.39
ACADVL,201.34,535.7,596.03,570.8,442.33,283.03,718.46,1074.32,593.36,257.98,387.25,650.21,439.63,267.61,340.46,306.04,290.79,370.3,352.15,488.16,183.75,373.28,699.04
ACAN,0.43,1.17,1.53,0.54,2.42,1.62,2.98,3.16,1.2,0.92,2.53,0.86,0.81,1.96,1.73,3.45,0.2,1.18,0.09,0.38,0.13,0.25,0.64
ACAP1,7.15,58.76,23.64,9.48,21.39,16.34,13.74,26.79,28.92,32.95,26.89,45.92,32.12,71.34,35.96,13.94,47.46,40.04,29.06,15.29,21.07,74.12,52.85
ACAP2,7.62,11.11,11.61,10.23,10.46,48.98,27.9,6.12,9.61,6.65,9.77,12.06,9,8.92,9.81,20.92,5.57,12.81,7.93,46.76,30.06,11.14,7.56
ACAP3,105.06,53.78,42.24,45.36,65.81,68.56,121.07,44.69,30.83,30.77,38.79,47.2,37.91,32.51,47.29,58.96,30.13,29.65,34.65,42.59,22.43,34.91,50.59
ACAT1,28.63,35.5,62.91,37.4,21.41,34.54,49.23,14.56,29.03,39.28,50.55,66.84,35.41,24.89,24.64,16.23,32.31,20.85,53.88,39.58,17.17,39.88,28.81
ACAT2,21.05,12.43,20.68,53.12,9.29,99.72,19.04,16.73,28.79,32.79,11.89,26.3,19.72,7.84,17.42,42.87,13.07,21.01,13.37,144.92,26.32,8.76,11.26
ACBD3,34.32,36.6,21.16,35.97,42.34,48.76,22.07,38.53,35.57,18.73,23.47,34.55,28.06,20.04,26.92,26.67,19.47,29.28,32.31,36.72,38.81,22.72,37.8
ACBD3.AS1,0.84,1.01,0.69,0.31,0.69,0.96,0.24,0.12,0.97,0.09,1.83,4.64,8.39,3.97,2.78,0.36,0.72,1.12,1.58,1.29,0.4,0.77,1.84
ACBD4,22.9,17.84,17.41,16.41,11.25,4.13,37.4,13,18.26,14.27,18.48,16.34,14.41,15.33,12.89,13.82,11.38,20.06,22.8,3.88,6.21,12.53,9.96
ACBD5,13.03,12.53,19.17,25.88,12.41,10.03,7.94,12.89,22.21,5.84,11.53,13.09,12.83,8.57,13.77,21.17,7.67,18.8,16.26,9.41,5.16,9.58,10.42
ACBD6,49.16,37.74,32.2,38.05,31.43,39.26,42.98,33.36,29.2,19.41,30.87,36.35,36.22,20.65,22.38,45.79,18.75,22.79,31.49,37.77,41.8,23.86,18.71
ACBD7,2.2,0.27,0.48,0.11,0.32,0.67,0.38,0.4,0.32,0.2,0.18,0.52,0.79,0.67,0.58,4.42,0.05,0.34,0.21,0.54,0.07,0.16,0.54
ACCS,35.04,23.93,50.68,27.23,11.98,10.01,29.21,14.49,16.99,7.61,35.5,21.16,19.79,27.63,33.8,8.83,11.44,7.6,32.7,9.29,9.7,36.58,8.66
ACCSL,0,0.03,0,0,0.03,0,0.02,0,0.03,0,0,0.02,0,0.02,0,0,0,0.02,0,0,0,0,0
ACD,33.42,28.76,13.35,14.4,28.03,32.13,47.44,12.03,14.72,27.32,22.17,23.61,24.38,15.15,19.85,51.68,19.93,17.16,18.91,36.44,38.97,13.35,21.32
ACE,7.75,29.38,33.82,30.61,20.99,13.16,33.67,3.32,56.78,22.34,175.21,54.43,59.21,23.2,37.29,13.98,22.39,8.66,31.14,9.62,11.56,42.44,7.8
ACE2,2.23,0.7,0.64,3.77,0.66,0.19,0.15,9.49,8.95,0.58,0.9,1.49,1.11,0.6,4.11,0.25,0.45,0.2,0.98,0.67,0.27,1.26,3.92
ACE3P,0,0,0,0,0,0,0,0,0,0,0,0.11,0.02,0,0,0,0,0,0,0,0,0,0
ACER1,0,0.03,0.03,0.11,0.11,0.88,0,0,0,0,0.16,0,0.07,0.18,0.09,0.03,0.03,0.08,0.08,0,0,0.11,0.05
ACER2,1.4,1.8,0.71,0.86,2.59,1.03,0.73,0.32,7.5,0.51,1.42,3.56,1.8,1.14,3.98,1.98,0.83,1.15,1.64,3.36,3.1,1.09,1.59
ACER3,6.61,7.26,10.53,9.54,7.92,21.87,5.08,3.15,11.24,6.92,6.92,10.71,6.22,4.47,9.76,5.79,6.48,6.73,5.53,7,3.15,7.99,4.95
ACHE,1.37,62.96,5.91,23.46,5.48,1.62,1.02,42.94,16.34,1.81,4.28,8.2,5.57,4.25,14.2,1.5,2.51,2.3,34.54,4.96,0.89,3.13,21.24
ACIN1,307.98,170.55,153.67,143.78,124.41,85.21,134.65,296.39,93.68,80.93,86.06,157.77,146.06,73.6,99.46,143.12,71.24,137.11,104.98,172.38,101.51,111.3,86.46
ACKR1,1.71,20.91,22.1,5.22,1.28,21.71,2.19,0.81,50.96,3.25,102.56,44.69,51.69,56.24,31.09,10.14,21.26,23.15,9.79,2.12,3.22,134.84,59.26
ACKR2,17.5,0.77,0.49,0.54,0.34,0.65,0.79,0.94,0.94,0.47,1.18,1.23,2.01,0.67,1.13,0.54,0.87,0.77,0.25,0.08,0.04,0.97,0.18
ACKR3,3.4,14.45,9.72,7.4,41.42,16.95,7.21,100.23,9.47,4.6,11.45,5.99,11.35,19.12,7.74,5.43,8.18,32.61,3.75,83.01,30.32,18.72,37.77
ACKR4,0.26,2.16,1.04,1.26,1.89,2.07,0.11,0.27,3.58,1,3.96,0.69,2.79,0.78,2.13,0.95,0.45,0.58,5.08,0.39,0.88,1.11,0.27
ACLY,32.82,36.08,40.45,43.74,53.15,61.17,41.46,24.97,40.3,40.22,30.53,38.77,35.84,23.52,35.22,64.78,33.98,33.69,38.31,105.44,36.45,29.55,23.38
ACMSD,0.22,0.05,0.32,2.75,0.12,0.04,0.85,0.29,4.06,0.72,0.21,0.2,0.62,0.08,0.26,0.21,0.13,3.76,6.77,0.14,0.02,0.3,0.54
ACNATP,0,0,0.18,0.03,0.08,0,0,0,0,0,0,0.08,0.04,0,0,0,0,0,0.03,1.48,0,0,0
ACO1,18.23,16.2,35.97,20.82,18.04,11.1,10.74,18.04,16.15,13.41,13.56,17.19,12.09,8.08,12.78,14.56,10.64,15.06,15.4,13.92,7.51,13.65,7.84
ACO2,31.58,52.73,55.8,54.57,48.27,92.06,61.23,54.72,53.56,33.49,48.14,62.66,60.76,31.35,51.29,44.07,28.96,72.64,43.98,71.93,61.02,38.99,31.84
ACOD1,0,0,0.31,0,0.05,0.02,0,0,0.04,0.29,0.02,0,0,0,0.04,0.04,0.14,0.05,0.02,0,0.1,0.04,0
ACOT1,9.95,3.3,27.54,4.07,3.16,1.93,3.94,1.12,5.25,5.51,3.3,3.34,3.3,1.2,11.07,7.96,4.32,10.99,3.78,1.82,1.85,3.22,0.19
ACOT11,4.6,4.87,2.95,12.26,6.16,6.67,12.22,11.82,12.25,1.77,2.54,5.01,3.36,3.17,7.5,4.92,3.28,11.2,3.43,3.93,0.68,2.34,1.52
ACOT12,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0
ACOT13,38.63,13.9,21.77,53.21,11.6,17.65,16.56,55.88,25.36,25.27,10.54,21.38,18.25,9.36,12.88,33.86,15.24,25.96,22.2,38.72,12.82,16.94,9.18
ACOT2,53,21.55,71.58,31.13,26.11,14.67,39.73,15.51,33.67,21.91,27.27,37.98,23.98,14.76,32.42,25.15,18.91,35.03,25.65,11.67,14.65,32.72,11.78
ACOT4,10.52,3.02,4,3.78,2.94,1.77,2.46,3.09,6.85,1.68,1.13,5.04,1.37,0.99,4.14,4.26,1.48,3.37,3.28,0.53,0.69,1.75,1.03
ACOT6,0.83,0.15,0.19,0.12,0.04,0,0,0,0.03,0.03,0,0.23,0,0,0,0.1,0,0.12,0.05,0,0,0,0
ACOT7,30.56,21.83,30.28,30.37,63.52,37.71,35.06,6.69,22.63,45.38,14.72,21.04,18.1,9.51,45.12,38.34,17.37,19.15,9.12,56.26,25.65,11.47,18
ACOT8,24.48,20.23,17.04,21.15,17.54,24.63,39.9,12.27,21.35,22.16,19.07,24.2,20.55,16.88,19.71,46.75,14.77,19.88,23.79,21.83,12.01,17,13.5
ACOT9,42.81,34.52,44.2,48.36,42.94,36.65,9.61,12.59,28.62,22.82,32.45,25.8,27.27,16.45,30.9,40.63,18.48,20.72,17.01,22.64,9.06,24.03,33.52
ACOX1,15.31,13.23,21.02,28.31,14.24,16.96,18.53,21.99,24.03,9.53,13.19,16.68,12.73,7.35,18.52,18.23,7.18,23.08,13.56,11.56,5.91,11.33,10.01
ACOX2,39.07,19.31,17.48,16.2,7.46,3.07,27.81,1.37,5.74,16.01,11.85,11.39,8.61,6.6,7.89,1.38,7.24,2.13,14.87,1.72,0.68,10.33,5.13
ACOX3,14.93,8.48,17.47,13.13,7.69,6.09,12.2,17.07,11.49,7.58,12.3,13.14,13.66,8.71,10.61,11.53,6.45,12.38,7.69,4.46,3.12,9.13,6.59
ACOXL,3.86,5.6,10,6.69,0.67,1.24,3.55,0.42,1.47,0.47,3.66,2.28,4.18,1.82,2.56,5.85,2.42,1.11,14.43,0.63,1.27,3.51,1.83
ACOXL.AS1,0.99,0.72,1.53,1.52,0.28,0.19,1.37,0.12,0.23,0.11,0.58,0.68,0.68,0.23,0.42,0.76,0.38,0.28,2.96,0.08,0.08,0.5,0.29
ACP1,90.84,72.88,72.5,105.15,81.69,158.65,142.58,105.47,80.64,97.01,64.46,85.12,78.74,59.43,84.04,119.27,66.44,122.01,104.7,186.65,80.43,68.78,51.57
ACP2,46.55,34.56,43.98,42.01,39.62,32.64,77.11,25.91,44.06,54.39,22.12,43.29,31.76,20.09,39.67,26.61,40.2,31.88,28.8,21.38,18.4,54.24,14.86
ACP3,3.39,2.43,4.11,4.07,1.1,6.99,0.05,0.75,2.37,6.32,1.25,3.44,3,1.54,1.53,9.59,1.48,0.82,3.65,2.8,1.77,3.91,1.07
ACP4,0,0.04,0,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.06,0.07,0,0,0
ACP5,22.81,183.75,531.61,339.51,92.72,45.52,2.8,29.29,619.85,173.28,102.47,211.98,185.61,68.08,205.36,59.27,151.85,87.47,112.34,56.74,54.67,330.88,60.13
ACP6,41.48,14.09,15.73,34.08,21.78,6.6,15.23,28.9,26.84,16.19,10.22,19.44,10.83,7.64,16.35,10.36,11.57,16.06,22.02,13.29,5.28,6.9,6.01
ACP7,0.04,0.11,0,0,0.81,5.13,0,0,0.05,0.28,0.01,1.15,0.31,0.08,0.04,0.05,0.06,0.03,0.03,5.74,17.3,0,0
ACR,0.15,0.63,0.47,0.24,0.19,1.18,0.42,0.28,0.13,0.12,2.09,0.37,1.16,0.71,0.21,2.03,0.83,0.18,0.22,0.23,0.21,0.25,0.19
ACRBP,1.36,2.26,3.12,1.23,2.47,1.3,0.86,2.78,5.86,1.3,2.42,4.65,2.4,3.07,2.19,2.75,1.81,4.14,3.16,0.98,5.45,5.87,0.76
ACRP1,0.19,0,0.4,0.3,0.21,0,0,0.13,0,0,0.21,0.15,0,0.25,0,0,0,0.15,0.3,0.15,0,0.09,0.25
ACRV1,0.28,0.02,0,0.08,0.15,0.04,0.27,0.16,0.05,0.15,0,0.13,0.07,0,0.02,0.2,0.04,0.06,0.04,0.1,0.16,0.06,0
ACSBG1,0.09,0.11,0.22,0.09,0.12,0.3,69.94,0.08,0.28,0.26,1.02,2.43,3.43,1.9,0.7,0.88,0.1,0.19,0.59,0.14,0.36,0.26,0.72
ACSBG2,0.18,0.25,0.15,0.13,0.05,0,0.24,0,0.27,0.06,0.45,0,0,0,0.22,0.81,0.07,0.26,0.39,0.41,0.06,0,0.03
ACSF2,91.66,35.95,85.49,42.49,37.7,16.35,11.29,253.25,37.11,57.41,50.04,88.15,58.3,38.27,38.36,125.64,29.41,70.54,34.73,15.58,10.92,31.04,49.77
ACSF3,41.79,14.61,22.51,17.97,11.11,15.74,11.71,18.38,23.71,17.99,18.27,18.88,20.92,21.86,22.83,44.7,15.24,28.53,22.81,12.81,13.6,18.13,11.39
ACSL1,24.58,38.46,73.89,51.24,28.38,31.37,112.57,13.95,89.89,21.74,45.7,102.95,64.32,26.81,45.34,54.7,31.82,38.92,46.73,58.1,27.42,79.94,28.6
ACSL3,27.89,22.79,27.11,52.93,35.16,63.45,38.24,39.74,35.89,52.08,55.72,40.64,35.05,18.97,36.73,23.93,24.63,91.62,19.07,31.15,43.94,21.35,26.07
ACSL4,13.67,21.27,34.09,43.62,41.87,48.77,11.99,47.44,22.37,18.61,21.35,25.46,27.64,11.34,31.57,30.18,25.48,32.89,38.09,15.07,12.26,40.1,26.57
ACSL5,63.04,49.18,129.94,77.12,15.58,5.61,0.93,11.46,54.36,14.75,25.88,32.96,28.82,21.87,101.35,14.42,40.83,33.14,35.99,3.72,3.93,33.5,82.96
ACSL6,0.41,3.22,0.83,0.24,0.14,0.12,24.42,0.02,0.68,0.12,0.52,0.59,0.48,1.21,0.5,0.14,0.28,0.51,0.9,0.82,0.85,1.27,1.27
ACSM1,2.14,1.14,1.69,0.34,0.12,0.11,0,0.58,1.59,0.13,0.41,0.6,0.61,0.59,0.56,1.97,0.18,0.49,0.54,0.24,0,0.44,3.08
ACSM2A,0.12,0.16,0,0,0,0.06,0.03,0,0.04,0.03,0.11,0.05,0.05,0,0.03,0.04,0,0,0,0.02,0,0.03,0
ACSM2B,0.49,0,0,0.03,0,0,0,0,0.04,0.06,0.1,0.05,0.18,0.03,0,0.02,0.09,0.01,0,0,0.04,0.15,0.02
ACSM3,9.42,5.91,12.15,13.58,3.16,2.68,0.3,4.1,8.54,5.06,7.43,12.82,13.69,5.41,5.02,102.84,7.59,15.3,31.49,2.92,1.18,29.78,8.92
ACSM4,0,0,0,0,0.02,0.02,0.07,0.02,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0
ACSM5,0.27,0.74,1.62,1.2,0.56,0.31,0.43,0.12,1.89,0.44,5.08,2.5,1.52,2.29,0.83,0.8,0.96,0.6,0.9,0.39,0.22,1.71,0.07
ACSM6,0,0,0.02,0,0,0,0,0.12,0,0.01,0.08,0,0.02,0,0.04,0,0.02,0.05,0.02,0,0.02,0,0.17
ACSS1,20.88,20.56,19.76,18.24,5.8,22.89,2.11,1.84,30.79,7.02,21.39,17.72,20.64,21.06,16.83,48.09,13.1,6.91,26.93,44.9,23.62,20.67,14.31
ACSS2,29.29,31.27,84.72,55.13,16.6,30.16,22.33,13.51,42.47,42.53,34.02,49.79,40.85,14.39,36.39,76.44,18.3,34.8,32.32,71.29,17.68,32.98,26.73
ACSS3,0.64,3.47,4.33,4.64,5.2,2.15,2.49,0.98,4.19,0.47,10.87,8.16,7.12,2.38,3.19,19.65,2.64,1.28,2.71,0.91,0.45,8.96,2.66
ACTA1,0.42,0.36,0.09,0.13,0.07,0.06,0.52,0.13,0.08,0.03,0.19,0.08,0.32,0.17,0.2,0.19,0.13,0.3,0.13,0.19,0.08,0.08,0.12
ACTA2,87.52,221.66,267.31,91.4,529.42,134.13,139.73,150.72,295.68,123.69,470.18,190.07,249.69,265.86,290.16,207.84,254.45,84.9,131.73,91.94,41.81,416.89,160.49
ACTA2.AS1,1.86,3.79,11.28,3.53,8.87,2.52,1.52,4.1,4.4,3.32,7.46,8.35,3.58,5.22,4.36,4.32,3.61,1.14,2.34,1.43,0.77,9.17,2.36
ACTB,2308.17,3674.51,4067.77,2502.95,3754.19,2843.34,955.99,1879.43,3188.57,3193.84,2534.72,3016.98,2305.78,1827.22,3153.2,2463.82,3429.83,2781.13,1778.6,2006.91,1341.28,2638.1,2806.52
ACTBL2,0.07,0.37,0.76,0.06,1.18,0,0,0.03,0.17,0.06,0.02,0.32,0.16,0.06,0.15,0.02,0.05,0.05,0.42,0.02,0,0.01,0.19
ACTBP1,0.05,0,0,0.04,0.05,0,0,0,0,0.13,0,0.13,0,0,0.41,0.09,0.26,0.65,0.59,0,0,0.08,0.13
ACTBP12,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTBP14,0.05,0,0,0,0.05,0,0,0,0.09,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0.07
ACTC1,0.11,0.14,0.12,0.14,0.16,0.42,0.27,0.99,0.55,0,0.74,0.26,0.38,0.9,0.22,9.47,0.11,0.2,0.08,0.07,0.14,0.38,0.56
ACTE1P,0.02,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.02,0,0,0,0
ACTG1,411.62,1813.58,1236.09,1733.81,2463.56,2385.9,1658.82,1055.49,2014.55,1654.74,1544.58,2005.78,1325.64,1094.06,1565.67,2067.96,2560.43,1008.98,1419.56,2061.79,1055.84,1302.67,1354.61
ACTG1P12,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.04,0.03,0,0,0,0.03,0,0
ACTG1P14,0.05,0.14,0.31,0.04,0.05,0.04,0,0,0.31,0.13,0.22,0.04,0.04,0.23,0,0,0,0.07,0.03,0.09,0.03,0.15,0.39
ACTG1P15,0.82,0.19,0,0.07,0,0.09,0.18,0,0.14,0.11,0.09,0.04,0.14,0.08,0.17,0.28,0,0.11,0.07,0.09,0,0,0
ACTG1P16,0,0,0,0,0,0,0.18,0,0,0,0,0,0.05,0,0,0.09,0,0.04,0.07,0,0,0.08,0
ACTG1P17,0.42,0.97,1.04,0.55,0.24,0.03,0.63,0.46,0.83,0.13,0.62,0.68,1.27,0.5,0.47,0.62,0.37,0.42,0.67,0.98,0.78,0.46,0.08
ACTG1P19,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTG1P21,0.06,0,0,0,0.05,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.04,0,0,0,0
ACTG1P23,0,0,0,0,0.05,0.09,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.21
ACTG1P24,0,0.06,0.05,0.14,0,0.06,0.23,0,0,0.05,0,0.06,0,0.14,0.05,0.35,0.05,0.19,0.05,0.24,0.28,0.05,0
ACTG1P25,0.88,0.1,0.3,0.08,0.1,0.23,0.09,0.44,0.12,0.18,0.09,0.06,0.08,0.14,0.16,2.72,0.03,0.12,0.15,0.54,0.11,0.04,0.14
ACTG2,3.5,9.15,18.66,8.89,79.93,10.81,8.86,6.81,27.53,3.06,97,36.01,31.2,32.1,28.98,19.97,11.67,5.7,15.64,4.78,0.81,28.19,21.66
ACTL10,4.04,2.58,2.45,3.42,1.41,0.5,2.96,0.59,2.87,0.69,1.22,1.76,1.37,1.52,1.92,8.17,1.42,3.96,2.01,0.21,0.6,1.61,2
ACTL11P,0.04,0.01,0.23,0.11,0,0,0,0.1,0.24,0,0.01,0.04,0.01,0.03,0.16,0.04,0,0.27,0,0,0.02,0.01,0.05
ACTL6A,80.55,36.08,41.87,56.63,52.18,182.52,33.87,33.34,37.7,69.04,29.28,52.54,40.53,25.53,34.04,247.79,26.29,55.25,35.07,194.06,115.69,24.01,33.39
ACTL6B,0.05,0.05,0,0,0,0,62.05,0.05,0,0.05,0.05,0,0.05,0,0.04,0,0,0,0,0,0,0,0
ACTL7A,0,0,0.06,0,0,0,0.09,0,0.03,0,0,0,0,0,0.03,0,0,0,0,0.03,0,0,0
ACTL7B,0,0.1,0,0,0,0.06,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.03,0,0,0
ACTL8,0.06,0,0,0.02,0,0,0,0.47,0.03,0,0,0.05,0,0.07,0,0.03,0,0.02,0.2,0.06,0,0.02,0.08
ACTL9,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.03,0
ACTN1,177.7,68.68,91.56,72.11,280.59,83.46,39.21,58.35,113.17,80.15,79.63,73.09,68.72,50.88,146.25,110.32,78.38,67.37,56.93,32.5,40.39,89.4,66.89
ACTN1.DT,1.25,0.42,0.61,0.11,0.39,0.52,0.13,0.27,0.23,0.18,0.27,0.26,0.27,0.56,0.25,0,0.53,0.11,0,0,0,0.77,0
ACTN2,0.42,1.06,1.84,0.46,0.69,0.13,4.05,0.29,0.57,0.05,5.39,0.82,2.43,1.25,0.68,0.66,0.4,0.96,0.61,0.01,0.1,0.76,2.53
ACTN3,0,0.02,0.01,0,0.11,0.04,0,0.07,0.15,0.1,0.05,0.04,0.02,0.05,0.04,0.02,0.1,0.05,0,0.08,0,0.04,0
ACTN4,127.98,146.78,202.54,213.23,378.64,218.43,123.12,140.66,188.64,107.24,292.82,202.18,220.52,103.17,218.86,447.03,142.78,208.94,143.74,176.88,334.08,124.68,174.66
ACTN4P1,0.46,0.23,0.47,0.63,0.66,0.62,0.22,0.16,0.45,0.27,0.42,0.44,0.71,0.21,0.39,0.55,0.34,0.56,0.13,0.59,0.73,0.28,0.39
ACTP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR10,144.66,36.21,60.66,44.43,64.02,35.3,87.31,47.61,49.62,48.69,51.4,60.61,50.87,33.83,47.59,49.93,34.86,38.53,51.42,28.35,27.5,42.08,28.7
ACTR1A,32.53,55.57,69.73,60.46,59.52,15.21,120.55,27.1,50.28,46.34,59.54,42.96,51.49,26.75,53.16,54.98,41.97,45.52,35.74,22.4,23.96,49.9,36.73
ACTR1AP1,0.05,0.09,0,0.03,0,0,0,0.04,0.09,0,0.04,0.08,0.13,0,0,0.17,0,0,0,0,0,0,0.06
ACTR1B,98.78,64.13,60.64,61.63,49.15,72.69,123.51,48.83,56.05,33.67,61.47,60.88,57.9,40.94,50.58,85.51,38.04,48.94,65.52,58.44,51.11,45.51,34.22
ACTR2,92.75,107.71,118.11,129.69,142.6,182.4,104,65.76,153.02,83.3,102.83,122.17,86.18,68.54,136.46,155.81,92.93,122.1,87.21,88.35,106.36,109.61,86.53
ACTR3,116.54,138.99,138.68,177.63,222.37,360.73,117.12,80.22,187.63,123.59,95.46,161.85,106.53,91.13,161.67,209.12,162.22,139.69,103.22,297.64,136.39,123.13,126.01
ACTR3B,8.53,5.04,4.22,4.84,3.03,6.8,32.99,4.58,3.57,7.76,8.78,4.14,5.47,4.09,3.92,9.54,3.8,2.57,6.05,6.5,8.08,4.45,3.09
ACTR3BP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR3C,3.91,4.43,2.36,8.01,3.73,0.74,6.97,2.3,5.63,6.18,3.43,9.73,5.09,2.82,4.33,5.37,5.56,9.02,5.47,5.49,1.46,5.35,6.2
ACTR3P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR5,9.33,7.14,5.26,7.52,5.93,6.86,7.69,8.31,5.07,5.96,6.05,6.96,6.98,5.09,5.52,17.38,5.19,7.04,5.31,4.93,4.68,4.8,4.77
ACTR6,16.92,10.92,16.62,15.16,16.63,23.07,38.06,16.55,10.78,12.66,12.51,14.61,18.06,9.95,11.23,27.24,9.36,20.39,14,19.29,20.2,10.71,8.81
ACTR6P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR8,17.53,8.92,10.58,14.87,17.09,10.58,19.54,6.68,13.45,8.83,9.75,15.53,12.54,7.66,11.71,17.97,7.77,6.21,17.62,6.14,9.96,13.49,12.41
ACTRT1,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.02,0,0,0,0,0.03,0.03,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
ACTRT3,0.62,1.28,1.09,1.18,12.48,4.19,1.05,0.47,0.85,2.17,1.01,1.44,0.83,0.48,1.09,1.97,0.48,0.57,1.55,1.8,1.51,1,5.49
ACVR1,19.84,30.31,19.27,18.16,31.23,35.77,22.67,12.94,21.69,9.99,13.82,18.6,17.48,14.74,29.43,22.2,15.88,10.9,11.25,15.23,10.43,12.03,15.14
ACVR1B,14.69,10.9,35.43,18.4,11.07,24.43,25.34,12.15,19.83,8.18,16.16,18.14,15.83,10.88,24.45,58.42,14.19,10.59,43.01,11.49,16.58,13.88,15.27
ACVR1C,0.15,0.22,0.31,0.27,0.6,1.13,43.29,0.34,0.22,0.07,0.1,0.13,0.19,0.37,0.29,1.06,0.52,0.11,0.49,1.92,1.17,0.22,0.91
ACVR2A,6.54,5.72,5.81,4.14,5.97,12.18,12.74,4.43,4.65,2.07,6,4.39,5.18,3.86,6.5,9.04,2.43,3.38,1.51,3.23,5.76,5.68,4.35
ACVR2B,1.57,2.24,2.36,1.62,1.44,2.64,4.41,1.68,1.04,0.6,1.35,1.77,0.86,0.93,1.21,3.25,1.26,2.31,1.61,2,2.51,0.82,0.93
ACVR2B.AS1,0.73,0.46,0.47,0.71,0.13,0.59,2,0.12,0.11,0.08,0.56,0.56,0.35,0.43,0.45,1.92,0.22,0.44,0.67,0.36,2.13,0.18,0.42
ACVRL1,3.16,34.59,28.51,16.43,17.54,10.92,5.2,5.34,28.93,8.78,211.7,23.89,98.69,23.9,31.12,12.4,13.67,14.08,12.61,6.47,7.09,26.25,13.46
ACY1,54.79,26.06,26.88,57.88,25.06,16.46,9.14,36.45,60.33,90.23,22.79,26.79,23.43,16.71,60.48,22.46,19.58,44.61,78.04,19.02,11.87,22.27,7.83
ACY3,0.37,1.25,1.24,3.31,1.07,0.43,0.03,0.69,3.71,8.99,0.24,1.35,0.72,1.07,4.05,0.96,1.07,1.28,16.59,0.39,0.46,0.68,1.6
ACYP1,105.74,10.59,11.71,12.46,18.1,16.68,54.09,14.97,14.4,14.12,23.37,19.14,28.01,14.44,19.76,77.11,9.63,19.02,15.02,17.37,20.3,13.49,16.88
ACYP2,19.51,10.4,17.41,12.89,12.15,19.04,39.04,6.64,12.95,8.12,13.23,15.99,11.62,9.22,10.7,23.69,7.58,9.75,16.04,9.78,10.3,12.33,11.82
ADA,3.1,9.7,5.96,8.1,9.25,10.04,1.11,10.32,6.24,13.35,6.81,11.03,9.48,8.93,14.58,43.72,15.67,11.78,6.2,78.78,50.81,16.62,12.87
ADA2,23.96,27.71,40.62,20.96,13.32,8.98,41.4,2.86,54.57,20.82,17.11,43.9,30.08,36.37,36.91,32.69,33.84,17.2,20.52,7.05,9.57,55.58,18.27
ADAD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0
ADAD1P2,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0
ADAD2,1.09,0.11,0.45,0.12,0.25,1,0.03,0.09,0.35,0.13,0.12,0.76,0.51,0.31,0.28,2.15,0,0.64,0.11,3.23,1.66,0.27,0.5
ADAL,5.69,2.99,3.69,3.87,3.78,6.47,4.76,2.43,3.06,2.13,3.65,4.21,2.9,2.5,3.02,6.91,1.35,4,2.94,3.2,4.01,3.36,1.3
